TOTALS: 22 of 22,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in
TOTAL,"33,703","20,673",61.34%,"6,161","14,066",216,38,47,12,37
Algansee Township Precinct 1,"1,388",971,69.96%,244,714,5,0,0,0,3
Batavia Township Precinct 1,"1,125",691,61.42%,187,494,4,3,0,0,1
Bethel Township Precinct 1,997,602,60.38%,143,448,3,1,2,0,0
Bronson Township Precinct 1,"1,088",699,64.25%,149,538,9,0,1,1,1
Butler Township Precinct 1,898,625,69.60%,154,459,8,1,1,0,2
California Township Precinct 1,493,260,52.74%,51,204,1,0,1,0,1
City of Bronson Precinct 1,"1,596",861,53.95%,247,589,14,4,4,1,0
City of Coldwater Precinct 1,"1,972",999,50.66%,483,486,14,2,7,3,1
City of Coldwater Precinct 2,"2,134","1,276",59.79%,487,749,17,1,9,1,1
City of Coldwater Precinct 3,"2,307","1,549",67.14%,597,913,19,6,2,1,4
City of Coldwater Precinct 4,"1,897","1,050",55.35%,418,609,13,2,2,2,1
Coldwater Township Precinct 1,"3,009","1,877",62.38%,500,"1,332",22,4,3,0,6
Gilead Township Precinct 1,548,363,66.24%,101,254,4,0,0,0,3
Girard Township Precinct 1,"1,528","1,053",68.91%,266,772,10,1,1,0,1
Kinderhook Township Precinct 1,"1,539",949,61.66%,259,675,6,0,3,0,0
Matteson Township Precinct 1,"1,016",676,66.54%,207,460,5,0,2,0,0
Noble Township Precinct 1,372,272,73.12%,54,211,3,1,0,0,1
Ovid Township Precinct 1,"2,272","1,525",67.12%,408,"1,082",19,2,2,2,4
Quincy Township Precinct 1,"1,439",742,51.56%,203,522,11,1,0,0,0
Quincy Township Precinct 2,"2,025","1,180",58.27%,316,841,8,2,3,0,2
Sherwood Township Precinct 1,"1,720","1,028",59.77%,270,743,7,2,2,0,0
Union Township Precinct 1,"2,340","1,425",60.90%,417,971,14,5,,,
